,FPI_Ratio_0,FPI_Ratio_1,FPI_Ratio_2,FPI_Ratio_3,FPI_Ratio_4,FPI_Ratio_5,FPI_Ratio_6,FPI_Ratio_7,FPI_Ratio_8,FPI_Ratio_9
General_Vegetation_-1hot-_Needleleaf deciduous tree. Broadleaf evergreen tree,0.3654124645409032,0.2698036107760049,0.2016302314629142,0.1402806048119427,0.2118046942516914,0.3314037811487852,0.1169321910402639,0.2939067052246463,0.2874864947278696,0.2323664673724585
General_Vegetation_-1hot-_Needleleaf deciduous tree. Grass,0.3654124645409032,0.2698036107760049,0.2016302314629142,0.1402806048119427,0.2118046942516914,0.3314037811487852,0.1169321910402639,0.2939067052246463,0.2874864947278696,0.2323664673724585
General_Vegetation_-1hot-_Needleleaf deciduous tree. Shrub,0.3654124645409032,0.2698036107760049,0.2016302314629142,0.1402806048119427,0.2118046942516914,0.3314037811487852,0.1169321910402639,0.2939067052246463,0.2874864947278696,0.2323664673724585
General_Vegetation_-1hot-_Needleleaf evergreen tree,0.3654124645409032,0.2698036107760049,0.2016302314629142,0.1402806048119427,0.2118046942516914,0.3314037811487852,0.1169321910402639,0.2939067052246463,0.2874864947278696,0.2323664673724585
General_Vegetation_-1hot-_Needleleaf evergreen tree. Broadleaf deciduous tree,0.3654124645409032,0.2698036107760049,0.2016302314629142,0.1402806048119427,0.2118046942516914,0.3314037811487852,0.1169321910402639,0.2939067052246463,0.2874864947278696,0.2323664673724585
General_Vegetation_-1hot-_Needleleaf evergreen tree. Broadleaf evergreen tree,0.3654124645409032,0.2698036107760049,0.2016302314629142,0.1402806048119427,0.2118046942516914,0.3314037811487852,0.1169321910402639,0.2939067052246463,0.2874864947278696,0.2323664673724585
General_Vegetation_-1hot-_Needleleaf evergreen tree. Grass,0.3654124645409032,0.2698036107760049,0.2016302314629142,0.1402806048119427,0.2118046942516914,0.3314037811487852,0.1169321910402639,0.2939067052246463,0.2874864947278696,0.2323664673724585
General_Vegetation_-1hot-_Needleleaf evergreen tree. Needleleaf deciduous tree,0.3654124645409032,0.2698036107760049,0.2016302314629142,0.1402806048119427,0.2118046942516914,0.3314037811487852,0.1169321910402639,0.2939067052246463,0.2874864947278696,0.2323664673724585
General_Vegetation_-1hot-_Needleleaf evergreen tree. Shrub,0.3654124645409032,0.2698036107760049,0.2016302314629142,0.1402806048119427,0.2118046942516914,0.3314037811487852,0.1169321910402639,0.2939067052246463,0.2874864947278696,0.2323664673724585
General_Vegetation_-1hot-_Shrub,0.3654124645409032,0.2698036107760049,0.2016302314629142,0.1402806048119427,0.2118046942516914,0.3314037811487852,0.1169321910402639,0.2939067052246463,0.2874864947278696,0.2323664673724585
